NAME ,NAME 2,EMAIL ,USE TYPE ,OBJECT TYPE,YEAR CONSTRUCTED ,YEAR DEDICATED ,YEAR REMOVED ,HONOREES 1,HONOREES 2,LAT,LONG,DATA LINK ,DESCRIPTION ,PHOTO LINK ,PHOTO LINK 2 ,VIDEO LINK ,AUDIO LINK 
smoketree,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67904,-79.42234,,"sumac’s cousin, Georgia in 
 the spring, pink dreams before G&T’s 
 celebration, puff fluff soft 
 touch.
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1q8XUOCIXzr4e0eejN26tXGPkIXNE5cjW/view?usp=sharing,,,
dance,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.68175,-79.42668,,"movement
 rhythm
 solo
 pairs
 quadruples
 space
 together
 public
 memory
 return
 converge
 activation
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",VIDEO: https://www.youtube.com/watch?v=nishQQHy2zQ&ab_channel=FaridaRady /// PHOTO: https://drive.google.com/drive/folders/1qGKMVNTyxYsS_pN2k2Ro3smZrcRzQxOP?usp=sharing,,,
🍄🍄🍄,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67814,-79.42143,,"maybe to grieve is to 
 forgive 
 maybe to forgive is to 
 let go 
 maybe to let go is to 
 remember 
 nothing lasts forever

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1aX7TizWo6el-0EC5svxARsFnwcmmJ_25/view?usp=sharing,,,
Nature Calls,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67718,-79.42111,,"Nature calls
 Nature calls you
 on the phone
 on the phone
 
 hmm… [birds chirp]
 hmmm… 
 [plane flies by]
 [crow caws]

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",Audio: https://drive.google.com/file/d/1bjYpfGWVA9iTYChNKy8wSXMW65nqdW6L/view?usp=drivesdk /// PHOTO https://drive.google.com/file/d/1FOBhFU2GOJC5yOV91jmeIxcdYEw8Ij2K/view?usp=sharing,,,
Womb,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67848,-79.42173,,"I capsulize in a womb of
 bush,
 Brittle capillaries, thin
 architecture,
 Can this be the escape?
 Can anything remain 
 undiscovered?
 To be observed in the 
 unknown.
 I quiver.
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ", https://drive.google.com/drive/folders/1ubO22czN742Hi5rb6ZiRPFaaR0b6qqJv?usp=sharing,,https://www.youtube.com/watch?v=wxzNHNOHLdQ&ab_channel=KaelinIsserlin,
Baby Goose Door,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67712,-79.41929,,"There isn't far to fall
 Pour me in, refill myself
 Petals percolate the edges 
 of home and risk,
 Gravity feels foreign to my
 heart,
 And yet so much hangs over 
 me,
 I wish it was a womb
 Break me through, refill 
 again,
 sap inside a superficial 
 skeleton
 The potential seeps through
  its container everyday,
 When I defy myself I 
 abandon a truth,
 Now only to be found in 
 music,
 Seeking through the radio,
 Or the birds,
 Mother's pulse
 ""Take me home! It's me!
 Let me into your baby goose 
 door!""
 
 
 What will become of what's 
 left?
 The litter must decompose, 
 but at what scale?
 I pray for a pathway clear 
 enough to see and weak 
 enough to move.
 I pray for you. Holding that
 door open, hand offered 
 outward.
 And a clear sky to rise my 
 gaze to.

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1oPYzuwDixZ71ZdgjghntWM48cdLWQma3/view?usp=sharing,,,
Threshold,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67925,-79.42354,,"Threshold
 I’m lost.
 It’s strings, the language 
 and words of strangers 
 making friends with their 
 words. Their wonder. The 
 lady and her paint. Paint. 
 Heard on the word. The — 
 tell me what's the news. tell 
 me what I thought I would 
 be walking across. I’m in I 
 want to be out. I want to be
 by the fence and her shade,
 her feeling of slinking in, so I
 can peak into myself, into
 the slide that has no
 platform

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/13q1vE8C9ceMf2VL8ypsFNqkFwJrUCkD3/view?usp=sharing,,,
How Do You Do It?,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67846,-79.42322,,"Arising complexity. I cross 
 the street.
 It’s comparison, 
 competition, the season of
 expression. Flowers.
 Your flowers. You flower. 
 You are a flower.
 Whose Choice, whose will. 
 Beauty is still here and I eat
 it. Admire it. Wonder at it. 
 Cross the street for it. Tickle
 my lips with it. Is it your
 intimacy, that I haven’t
 asked for? Asked your
 guardian. If I can linger,
 dwell. Love from far. Close 
 in…
 
 And who else is here. Flying
 ant like, your bee legs filling
 with orange pink pollen.
 
 I can’t leave. Now that I’ve
 stopped. I think you’re who 
 they call chestnut
 Aesculus parviflora…. 
 Passing ovaries…. 
 Fecunded…. ?

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/1RobEf2bpcuJquWs2RM9PbyNSesj9HLlC/view?usp=sharing,,,
Escape Route,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67925,-79.42432,,"Getting away from voices and music and Learning Garden enthusiasts. Belly ache, dizzy sun, nothing to buy here to ground me. The fence curves for my back. Quieter voice bubble below wailing siren and bird songs. Sun keeps greeting me. “You're alive…” someone says behind me. The heat on my skin as a ball crashes into a fence. As if the plants that form the path are non-sequiturs.

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/16xNewsdQLewHsoO7DkEWic-a9Gn0veL6/view?usp=sharing,,,
Lost Hat,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.6802,-79.42276,,"There are a lot of reasons to leave things behind
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/1YX3Rcs9pa3tkLaEHJtsbtptPNxLpCvtn/view?usp=sharing,,,
speedy glass,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.68208,-79.42503,,"lubricated innocence
 rivers inside you brought 
 you here 
 pulses grew in the distance
 you sputtered into existence
 and puttered to a stop
 i wrote you gently into
 essence
 and you spent all your time
 slamming your fist into the
 pavement

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/1YEuj3XxZ8AEsJEAiB389LUSRnIH1BI6A/view?usp=sharing,,,
laneway,,dmrazdar@gmail.com,Multiple/ other,Infrastructure,,,,,,43.68096,-79.42083,,"I take a handful of flesh
 I pull apart the flesh and put 
 a seed there
 I bury it under a small layer 
 of flesh
 I water it well
 A lily will grow later
 Or it won’t and I will repeat 
 the process
 Or it won’t and I will repeat 
 the process
 Or I won’t and it will repeat 
 the process

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/1NCNGTRJP_MGDmKO1umdL5oMbo-yIwE60/view?usp=sharing,,,
80 Benson Ave,,dmrazdar@gmail.com,Multiple/ other,Infrastructure,,,,,,43.67994,-79.42619,,"Disciplinary density 
 Underlying the freedom of 
 birdsongs
 What I see is the sweetness 
 of fire
 Adjunct emeritus professor
 Spacious perceipt of the 
 entity called time
 Towering bricks and el 
 extricate lines alike
 Dinosaur t-shirt on a boy
 Luscious earth
 The concrete covets me
 I am the coveted wife
 Osiris
 Retrieving my soul makes my hands shake
 I must travel, dig my hands
 Deep into the earth
 Interrupt the illusion of sanity
 Greeting strangers
 
 The spirit asks-
 in the sensuousness of
 concrete
 Devour my bones
 Devour my skeleton
 Upholding the egoic
 Impulse to feign immunity 
 from desire for touch, for 
 deduction, for recreation

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. The image above is from a live-writing public workshop by @proforma.corps that took place on Geary Avenue, on Treaty 13 Territory. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/1grcDNr1zw8UQCXGOHJ6JLV-ztc7DJfcX/view?usp=sharing,,,
swings,,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.68016,-79.423,,"Find the swings, worship air
 Gravitylessness as play and 
 not as a state of being 
 (scary, bad, hard, 
 displacement), you could 
 get dizzy, human need for
 joy human need for ground
 human need for play
 Where are the people of
 colour? (2022)
 Joy protected by a flimsy
 fence, more of a suggestion
 than an enforcement but it
 does the trick
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place  ",https://drive.google.com/file/d/1vBEVcj89g8kxJpi_BwnfXpwJejAzJwYT/view?usp=sharing,,,
"ice melted here, guess you should've been there",,dmrazdar@gmail.com,Multiple/ other,,,,,,,43.67975,-79.42421,,"Be witness to temporality
 Ice melts and creates a river, 
 rivers flow downstream
 This has always been
 A child wearing a helmet
 laughs
 A children's book a sanitizer 
 container shaped like ginger 
 cookies 2022 a children's
 book
 The ice glistens like 
 something precious
 This happens now and
 never again but just in case, 
 I'm going to give you some
 tools to replicate it
 The sun is hot, there is a 
 breeze, a child wearing a 
 helmet laughs, someone 
 brought a lot of ice out with
 them, perhaps to keep 
 drinks cool, we weather 
 the elements' wrath like بندگان of 
 angry gods
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reflex Urbanism. 

Reflex Urbanism is an urban practice studio transforming the culture of cities. Reflex Urbanism understand, from experience, the complex nature of contemporary urban life. The same places marginalized people flock to marginalize us in return. Rather than call to centre the marginalized, Reflex uplifts power among the margins. Through relational research, planning, training, and action, Reflex addresses urban issues by and for equity-deserving communities.

Reflex is based in the Haudenosaunee and Anishinaabe territories known as Tkaronto, Ogimaa Mikana, and Toronto. As such, we are beholden to the Dish With One Spoon and Two Row Wampum covenants. Our studio serves those for whom these covenants also apply. Learn more at: https://reflexurbanism.wordpress.com/ and https://darianrazdar.info/Poetics-of-Place ",https://drive.google.com/file/d/14mMLnfB1yi4dqguXMEXbJ6UfQnZ3nPfO/view?usp=sharing,,,
"Bloor-Ossington: Finding Place, Mapping Space",,Reimagining the City Collective ,Comemmorative ,,,,,,,43.66212238,-79.42561347,,"Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective","https://drive.google.com/file/d/1uZQrp4rQCd863ahOd1HD4MnlKjWNDqCl/view?usp=sharing 
k", https://drive.google.com/drive/folders/1n-nx2wbX-64LORtJP1YCw9R_jpg3qLcF?usp=share_lin,,
Site3 Colabatory,,Reimagining the City Collective ,Comemmorative ,,,,,,,43.66146746,-79.42604899,,"Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective",,,,
Paradise Theatre,,Reimagining the City Collective ,Comemmorative ,Building ,,,,,,43.66129671,-79.43073749,,"Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective",https://drive.google.com/file/d/1dR4ltX0cb77aonz2YnL-Ljuq9GTskKt1/view?usp=sharing,,,
Dewson Street,,Reimagining the City Collective ,Comemmorative ,,,,,,,43.65685859,-79.4251552,,"""If you trace back the histories of most of Toronto's Black queer and feminist organizing, you will find a common root: that collective house on Dewson Street."" - Debbie Douglas; Black queer presence in the City, geneologies of Black lesbian feminist organizing.
__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective",https://drive.google.com/file/d/1m32QzLFKa1ATwjRgM9v3JMxlkS-7FMDh/view?usp=sharing,,,
Rusholme,,Reimagining the City Collective ,Comemmorative ,Site ,,,,,,43.65530947,-79.42884215,,"The first home I've ever created with Black femmes - the first place I was fully myself.

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective",https://drive.google.com/file/d/1m32QzLFKa1ATwjRgM9v3JMxlkS-7FMDh/view?usp=sharing,,,
Christie Pits,,Reimagining the City Collective ,Comemmorative ,Site ,,,,,,43.66472041,-79.42068603,,"Biggest gathering of Ethiopian diaspora in Toronto; hearing the sounds of our music, dance along bloor street; first public sex; saw Ryan Gosling. 

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective",https://drive.google.com/file/d/1m32QzLFKa1ATwjRgM9v3JMxlkS-7FMDh/view?usp=sharing,,,
Blackhurst,,Reimagining the City Collective ,Comemmorative ,,,,,,,43.66454039,-79.41073526,,"Historically Black neighbourhood in Toronto

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective",,,,
A Different Booklist,,Reimagining the City Collective ,Comemmorative ,,,,,,,43.66454039,-79.41073526,,"Black-owned local bookstore

__

Between 2021-23, @countermap.land launched fifteen engagement workshops led by artists, collectives, and community groups. Each of these gatherings worked to map experiences and histories of the land commonly excluded from mainstream cultural heritage discourse. Many of the workshops also questioned the agencies and legacies embedded in cartography. This submission is from a workshop led by Reimagining the City Collective. 

(Re)Imagining the City Collective (RIC) is a collective of researchers, artists, cartographers, and writers concerned with space-making, counter-narratives, and agency in the city. Immersed in experimental, arts-based, and cartographic practices, RIC Collective seeks to dislocate power from authoritative planning bodies and relocate it within communities by disrupting the dominant narratives of city-building.

Learn more at: https://www.instagram.com/ric.collective",,,,
