NAME ,NAME (S),DISCLAIMER ,DATA SOURCE/S ,DATA SOURCE/S URL ,COORDINATES - LAT / X,COORDINATES - LONG/ Y,STREET ADDRESS ,CITY (COLONIAL) - EXCLUDE FROM MAP ,PROVINCE/ TERRITORY  (COLONIAL)  - EXCLUDE FROM MAP,ON THE TRADITIONAL LANDS OF (DATA FROM NATIVE-LAND.CA - CONTACT LOCAL NATIONS TO VERIFY) ,IMAGE 1- MAIN ,IMAGE 2 - SECONDARY,DESCRIPTION (LONG) ,PLAQUE/ MARKER TEXT / INSCRIPTION ,ARTIST/ CREATOR,AGENCIES SPONSORING/ MANAGING THE SITE,YEAR DEDICATED ,YEAR CONSTRUCTED ,OBJECT TYPE ,USE TYPES ,USE TYPES 2,SUBJECTS ,SUBJECTS 2,SUBJECTS 3,SUBJECTS 4,HONOREES ,HONOREES 2,HONOREES 3,HONOREES 4,HONOREES 5,HONOREES 6,HONOREES 7,HONOREES 8,HONOREES 9,HONOREES 10,HONOREES 11,HONOREES 12,HONOREES 13,HONOREES 14,HONOREES 15,HONOREES 16,HONOREES 17,HONOREES 18,HONOREES 19,HONOREES 20,HONOREES 21,HONOREES 22,HONOREES 23,HONOREES 24,HONOREES 25,HONOREES 26,HONOREES 27,HONOREES 28,HONOREES 29,HONOREES 30,HONOREES 31,HONOREES 32,HONOREES 33,TAGS,TAGS 2,COMMUNITIES IMPACTED (CROWD-SOURCED),ISSUES REPRESENTED (CROWD-SOURCED),MATERIAL 1,MATERIAL 2,MATERIAL 3,AREA (SQ.KM),HEIGHT (M),WIDTH (M),DEPTH (M),STAGING 1,STAGING 2,STAGING 3,STAGING COMMENTS,GESTURE 1,GESTURE 2,INCLUDES REPLICA? ,YEAR REMOVED (IF APPLICABLE),ADDITIONAL INFORMATION ,
Fort Edward National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=318,44.9965,64.1352,"67 Fort Edward Street, Windsor, Nova Scotia",Windsor,Nova Scotia ,"Mi’kma’ki 
Wabanaki (Dawnland Confederacy) ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/FortEdwardWindsorNovaScotiaCanada.JPG/1920px-FortEdwardWindsorNovaScotiaCanada.JPG ,https://ns1763.ca/wp-content/uploads/2019/12/forted884.jpg,"""Fort Edward National Historic Site of Canada comprises a wooden blockhouse as well as remnants of buildings and landscape features from an 18th century fortification on the outskirts of Windsor Nova Scotia where the St. Croix River joins Pesaquid Lake. The official recognition refers to the only surviving structure from the fort, the blockhouse.""","""This area was well-populated by Acadians when Halifax was founded. British troops had been observing their settlements for some time before 1750 when Major Charles Lawrence built Fort Edward to forestall a possible attack on Halifax by either Acadians or Indians and to intercept their trade with Louisbourg. In 1755 a thousand Acadians were deported from the vicinity of the fort. During the American Revolution and again during the War of 1812, the fort was reinforced to protect Windsor and the road to Halifax. A garrison remained here until 1850. *Note: This designation has been identified for review. A review can be triggered for one of the following reasons - outdated language or terminology, absence of a significant layer of history, factual errors, controversial beliefs and behaviour, or significant new knowledge.""",Major Charles Lawrence (1709- 1760) (British Army Officer) ,Parks Canada,1920 (National Historic Site),1750,Site ,Military ,,Mi’kmaq,Acadian,British settlers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Historic Site/ Monument ,,,,,,,,,,,,,,"""Key elements contributing to the heritage value of this site include:
the siting of the blockhouse with the cultural landscape of Fort Edward, still legible as a British fort with star-shaped ramparts and blockhouse; the strategic location of the site at the confluence of St. Croix River and Pesaquid Lake; the Blockhouse with its square massing, tripartite design with squat lower storey, overhanging upper storey, and pyramidal roof, its articulation as a defensive structure with sparse door and window openings and plentiful gun slits, its surviving original materials and craftsmanship; its location in relation to other built and landscaped components of the fort, viewplanes to the St. Croix River and Pesaquid Lake.""",,,,,https://westhantshistoricalsociety.ca/rezoning-fort-edward/ ,
Fortress of Louisbourg National Historic Site of Canada,Unama’ki ,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://en.wikipedia.org/wiki/Fortress_of_Louisbourg , https://www.pc.gc.ca/en/lhn-nhs/ns/louisbourg ,  ",45.90833,-60.5,"259 Park Service Rd,
Louisbourg, Nova Scotia, Canada
B1C 2L2",Louisbourg,Nova Scotia ,"Mi’kma’ki 
Wabanaki (Dawnland Confederacy) ",https://parks.canada.ca/culture/designation/lieu-site/-/media/569D6880ED7D4BA08FDE8EEAA3FEA429.ashx,https://upload.wikimedia.org/wikipedia/commons/1/1e/Louisbourg.jpg ,"""Fortress of Louisbourg is the largest reconstructed 18th-century French fortified town in North America, located on the southeast edge of Louisbourg Harbour adjacent to the Atlantic Ocean in southeastern Cape Breton, Nova Scotia. It is composed of the site of the original fortress as well as associated outlying lands and islands, and contains rare remnants of 18th-century French and British life in North America. Part of the fortress and town of Louisbourg has been reconstructed to assist visitors in understanding its scale, complexity and dimension. The designation refers to original surviving 18th-century elements of the landscape and built resources.""","""In 1713, France decided to found Louisbourg to defend her colonial and maritime interests in North America. As capital of the colony of Isle Royale and guardian the Gulf of Saint. Lawrence, it became the most important French fishing and commercial center in North America. The fortress was besieged and captured by British forces in 1745 and again in 1758. Its fortifications were demolished in 1760. In 1928, Louisbourg was designated a National Historic Site. Its reconstruction was begun in 1961 so that future generations seeing it might understand the role of the Fortress in our history.""",,Parks Canada,1920 (National Historic Site),1713-40,Site ,Military ,,French settlers ,British settlers ,Mi’kmaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Historic Site/ Monument ,,,,,,,,,,,Includes replica/ reconstruction ,,,Some parts of the fortress are reconstructed ,,,Yes ,,https://www.canada.ca/en/parks-canada/news/2017/09/fortress_of_louisbourgnationalhistoricsiteopensnewmikmawinterpre.html ,
Halifax Citadel National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=281 ,44.6475,63.5796,"5425 Sackville St, Halifax, NS B3J 3Y3 ",Halifax,Nova Scotia ,"Mi’kma’ki 
Wabanaki (Dawnland Confederacy) ",https://www.pc.gc.ca/apps/dfhd/Resources/Images/Image.aspx?id=81824 ,,"""Halifax Citadel is a large, stone early 19th-century British fortification located atop Citadel Hill, in Halifax, Nova Scotia. The walled citadel is surrounded by an expansive grassed glacis descending to the commons on the west side and downtown Halifax on the east side. It is the most prominent fortification in a network of defensive works that have historically guarded Halifax, its dockyard and its harbour.""","""Built to defend against a land-based attack, the Halifax Citadel was the fourth in a series of forts to occupy this hill. The star-shaped fortress, completed in 1856, was the centrepiece of the extensive system of fortifications constructed by the British military from 1749 to protect this strategic port, which by the mid-19th century had become one of four principal naval stations in the British Empire. Garrisoned by the British until the Canadian military assumed control of all Halifax defences in 1906, the Citadel stands today as a reminder of our rich colonial and military past. *Note: This designation has been identified for review. A review can be triggered for one of the following reasons - outdated language or terminology, absence of a significant layer of history, factual errors, controversial beliefs and behaviour, or significant new knowledge.""",,Parks Canada,1935 (National Historic Site),1828-56,Site ,Military ,,British settlers ,Mi’kmaq,,,Gertrude Ritchie (1903-1998),Margaret C. MacDonald (1873-1949),Clare Gass (1887-1968),Laura Hubley (1875-1964),Harry George DeWolf (1903-2000),Norman Crewe (1921-),Women Shipbuilders (1939-1945) - 4000 workers,Malcolm Cann (1895-1914),Vincent Coleman (1872-1917),James Cope ,John Cope ,Joseph Cope ,George A. Downey (1892–1969),Stephen Joseph Francis (1873-1947),Fritz & Bruno,Thomas Hammond (1887-1916),Jeremiah Jones (1858-1950),Arthur Lismer (1885-1969),Angus L. Macdonald (1890-1954),Thomas Moore (1894–1978),Daniel Owen (1890–1939),Joseph A. Parris (1899–1972),Walter Pickup (1893–1917),Albert J. Porter (1897–1942),George Price (1892-1918),Walter Ruggles (1890-1919),Dr. John Stewart (1849-1933),Daniel H. Sutherland (1878–1977),William A. White (1874–1936),Joseph White (1897-1925),The 25th Battalion,The 85th Battalion,William MacHardy (1894 - 1918),National Historic Site/ Monument ,,,,,,,,,,,,,,"""Key features contributing to the heritage value of this site include:
the evolved cultural landscape comprising its star-shaped footprint, the profile of its built features, its open ground, and remnants of 18th-20th-century military activity including the glacis, the footprint of Fort George, extant historic buildings, structures, site roads, remains and landscape features, siting on a drumlin centrally located on the peninsula adjacent to Halifax harbour, the open ground that surrounds it (the lack of trees on the glacis), the 1930s perimeter roadway connecting the Citadel to the town, and roadways, pathways, channels and tunnels providing internal communications, viewplanes to the inner harbour, to landward approaches, to other harbour defences, to the town blocks adjacent to the harbour and those historically linked to the Citadel such as Royal Artillery Park, the Commons, and the Public Garden.

The fort: the bastion design with star-shaped footprint and profile, functional design, found form, materials and spatial relationships of elements including the parade, south-east and north-east salients, the redan, the south-west and north-west demi-bastions and the west front, fort walls, casemates, counter-mine tunnels and musket gallery, the ditch, ravelins and glacis, south magazine, and north magazine (canteen building).

Defensive works outside the fort: the siting, mass, design and spatial relationships of extant military resources on the hill including casemates, north and south magazines, two expense magazines on the ramparts, the Cavelier building, the found materials of their construction (primarily stone with supplementary brick as structural support in such areas as casemate arches).

Archaeological remains the footprints, materials and spatial relationships of early military facilities including gun emplacements on the ramparts (for smooth bores and RMLs), a barracks foundation, cisterns with a drainage system beneath the parade, a tunnel under the glacis' west side.""",,,,,"https://www.cbc.ca/news/canada/nova-scotia/halifax-tax-citadel-hill-federal-government-municipality-mike-savage-1.3765213#:~:text=In%202012%2C%20the%20Supreme%20Court,back%20taxes%20dating%20to%201997, https://www.cbc.ca/news/canada/nova-scotia/halifax-citadel-national-historic-site-lets-you-fire-a-gun-from-1869-1.3098612 ",
Port au Choix National Historic Site of Canada,Phillip's Garden ,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://pcweb2.azureedge.net/-/media/lhn-nhs/nl/portauchoix/pd-mp_e.pdf , ",50.7125,-57.3756,"Port au Choix, Newfoundland and Labrador",Port au Choix,Newfoundland and Labrador,"Beothuk 
Mi’kma’ki ",,,,Various,,Parks Canada,1970 (National Historic Site),"4,400 BCE to 1,300 BCE",Site ,Archaeological,Burial site ,Paleoeskimo',Maritime Archaic People ,Dorset People ,Groswater People ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Historic Site/ Monument ,,,,,,,8.3 sq. km. ,,,,,,,"""In the late 1960s, before the site was established, a number of human remains and associated items were excavated from the Maritime Archaic Cemetery. In 1974, the land from which these remains and associated items were removed became the property of Parks Canada. Parks Canada does not have custodial management over these human remains or artifacts. Pursuant to the Historic Resources Act these remains have
been cared for by the Provincial Museum of Newfoundland and Labrador. Parks Canada’s Management Directive 2.3.1, Human Remains, Cemeteries and Burial Grounds provides for the support of repatriation. Letters requesting that the Maritime Archaic Indian remains be reburied at Port au Choix have been written by Miawpukek Mikamawey Mawi’omi, the town of Port au Choix and Parks Canada. A discussion paper
is being prepared by the Provincial Museum, which will be followed by consultation in preparation of the development of a museum policy on human remains. It is also possible that many artifacts associated with early findings in the Port au Choix area are in the care of private individuals who may not be aware of the importance
of the artifacts they possess."" ",,,,,https://www.cbc.ca/news/canada/newfoundland-labrador/fishing-gear-burned-port-au-choix-protest-1.4073748 ,
Port-Royal National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://www.pc.gc.ca/en/lhn-nhs/ns/royalport , https://en.wikipedia.org/wiki/Port-Royal_National_Historic_Site ",44.71214,-65.6105,"53 Historic Church Road, Port Royal, Nova Scotia, B0S 1K0, Canada",Port Royal,Nova Scotia ,"Mi’kma’ki 
Wabanaki (Dawnland Confederacy) ",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Port-Royal_Nova-Scotia_1.jpg/500px-Port-Royal_Nova-Scotia_1.jpg ,,"""The Habitation at Port-Royal was established by France in 1605 and was that nation's first permanent settlement in North America, as although Fort Charlesbourg-Royal in the future Quebec City had been built in 1541, it did not last long. Port-Royal served as the capital of Acadia until its destruction by British military forces in 1613. France relocated the settlement and capital 8 km (5.0 mi) upstream and to the south bank of the Annapolis River, the site of the present-day town of Annapolis Royal.

The relocated settlement kept the same name of Port-Royal and served as the capital of Acadia for the majority of the 17th century until the 1710 British conquest of the colony, at which time the settlement was renamed Annapolis Royal.""","""Replica of the original Habitation of De Monts erected here in 1605. Home of the Order of Good Cheer founded by Champlain. Birthplace of Lescarbot's play, "" The theatre of Neptune"", and of his history and poems of New France. Headquarters of the settlement of Poutrincourt and Biencourt until the habitation was destroyed by Argall of Virginia in 1613."" ",,Parks Canada,1923 (National Historic Site),1629 - 1710,Site ,Military ,Comemmorative ,French settlers ,Mi’kmaq,,,Samuel de Champlain (1567-1635),Mattieu Da Costa (1589-?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Historic Site/ Monument ,,,,,,,0.01 sq. km. ,,,,,,,"""Costumed interpreters share with visitors the challenges faced by the French, and their friendship with the Mi’kmaq. It is located in Port Royal, Nova Scotia."" Als includes replica buildings. ",,,Y,,,
Prince of Wales Tower National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://parks.canada.ca/lhn-nhs/ns/prince , https://en.wikipedia.org/wiki/Prince_of_Wales_Tower ",44.621518,63.569815,"Prince of Wales Tower National Historic Site
Point Pleasant Park
Halifax, Nova Scotia
Canada
B3H 2T7",Halifax,Nova Scotia ," Mi’kma’ki 
 Wabanaki (Dawnland Confederacy) ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Prince_of_Wales_Tower_-_2017_%2835781219381%29.jpg/600px-Prince_of_Wales_Tower_-_2017_%2835781219381%29.jpg ,,"""The Prince of Wales Tower is 26 feet high and is 72 feet in diameter. The exposed material is ironstone rubble masonry, with 8-foot-thick (2.4 m) walls. The tower is a squat, round structure built of stone, almost three times as wide as it is high. The original construction allowed for six mounted guns on the roof and four guns on the second storey. The second storey was intended for barrack use and the ground floor for storage. The tower is 72 feet in diameter and the walls at the base are 8 feet thick. The tower could accommodate 200 soldiers. 

Further modifications were made over the next seventy years. By 1813, the Tower mounted four 6-pound guns on garrison carriages on its barrack level, two 24-pound guns on traversing platforms and six 24-pound cannonades on traversing slides on top. After 1864, the Tower was used as a self-defensible depot magazine. The roof was replaced in 2016. """,,Captain James Straton (Royal Engineer) ,Parks Canada,1943 (National Historic Site),1796,Tower,Military ,Comemmorative ,British settlers ,,,,King George IV  (1762-1830),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Historic Site/ Monument ,,,,,,,"7.9 m height, 22 m diameter, 2.4 m thick walls ",,,,,,,"""Prince of Wales Tower National Historic Site is a 0.78-hectare (about one acre) site within the 75-hectare (185-acre) municipal Point Pleasant Park, located at the southern tip of the Halifax Peninsula.

While there are several other remains of historic shore defences within the park, Prince of Wales Tower National Historic Site is the only one designated as a national historic site.

The interior of the Prince of Wales Tower National Historic Site has been closed to the public for the past several years, and there is some public interest in it being reopened.

The site is periodically opened for special events, and the grounds, with existing exterior interpretive panels, are suitable for informal or organized alternative uses.

The Parks Canada Agency Act requires Parks Canada to prepare a management plan for national historic sites administered by the Agency. This plan provides guidance for the management of five national historic sites that collectively make up the Halifax Defence Complex: Halifax Citadel, Georges Island, Fort McNab, Prince of Wales Tower, and York Redoubt national historic sites.""",,,,,https://www.cbc.ca/news/canada/nova-scotia/citadel-prince-of-wales-tower-upgrades-1.3568092,
Twin Falls Tea House National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,51.54444,-116.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenchman Butte National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",,,53.62731,-109.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrickville Blockhouse National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,44.91667,-75.8375,,Grenville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maillou House National Historic Site of Canada",,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,46.81183,-71.2064,,Québec,Québec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Gaspareaux National Historic Site of Canada",,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,46.04111,-64.0728,,Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skoki Ski Lodge National Historic Site of Canada
",,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,51.52222,-116.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper House National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,53.13833,-117.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province House National Historic Site of Canada (PEI),,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,https://en.wikipedia.org/wiki/Province_House_(Prince_Edward_Island) ,46.235556,-63.127778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Espérance National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,50.49222,-101.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Coupe Dry Dock National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,45.86333,-64.2758,,Westmorland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardgowan National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,46.25,-63.1333,,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Park National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,49.3,-123.142,,New Westminster Land District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Espérance National Historic Site of Canada,,,,,50.49222,-101.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province House National Historic Site of Canada (Nova Scotia),,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,45.076389,-67.063889,,,,"Mi’kma’ki 
Wabanaki (Dawnland Confederacy) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbot Pass Refuge Cabin National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,51.36361,-116.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellowhead Pass National Historic Site,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,52.89167,-118.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers Pass National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,51.29444,-117.517,,Kootenay Land District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Québec Garrison Club National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,46.80944,-71.2106,,"Québec; Communauté urbaine de Québec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry House National Historic Site of Canada ,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,52.98306,-118.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grassy Island Fort National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,45.33667,-60.9736,,Guysborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mnjikaning Fish Weirs National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,44.60417,-79.3697,,,Ontario ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Fort National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,44.74139,-65.5189,,Annapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Andrews Blockhouse National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Hill National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,47.57361,-52.6836,,"St. John's East",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howse Pass National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,51.81444,-116.891,32-20-W5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Redoubt National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,44.59583,-63.5556,,Halifax ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mississauga Point Lighthouse National Historic Site of Canada",,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" To submit an official request to amend a plaque through the Historic Sites and Monuments Board of Canada, contact them here: https://parks.canada.ca/culture/designation/contact ",Parks Canada ,,43.26139,-79.0767,,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Park Heritage Site,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartier-Brébeuf National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coteau-du-Lac National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,45.28778,-74.1775,,Coteau-du-Lac; Vaudreuil-Soulanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
